iter	RMSE
0	1.092335127
1	1.052385598
2	1.014598891
3	0.9793619747
4	0.9441115071
5	0.9108252257
6	0.8785251347
7	0.8479871078
8	0.8180016436
9	0.7903132559
10	0.7646214051
11	0.7390820768
12	0.7140737292
13	0.6918960859
14	0.6685906048
15	0.6477828288
16	0.627248476
17	0.608005469
18	0.5892960407
19	0.5706045638
20	0.5538095956
21	0.537680043
22	0.5212644357
23	0.5057019582
24	0.4915388302
25	0.4779544978
26	0.4649736283
27	0.452160432
28	0.4392643157
29	0.4268295433
30	0.4153696094
31	0.404232332
32	0.3938779484
33	0.3833439278
34	0.3735006553
35	0.3638742743
36	0.3547137848
37	0.3455742199
38	0.337043793
39	0.3285765594
40	0.3209954388
41	0.3130504096
42	0.3060601443
43	0.2987168472
44	0.291898171
45	0.2856948079
46	0.2790228738
47	0.2726300065
48	0.266426964
49	0.2607959368
50	0.2552936145
51	0.249704991
52	0.2441988351
53	0.2390166712
54	0.2342160164
55	0.2298560433
56	0.2252396155
57	0.2209166021
58	0.2170437474
59	0.2129203413
60	0.2090288527
61	0.2050989736
62	0.202005638
63	0.1982241528
64	0.1945684332
65	0.1911848023
66	0.1875890412
67	0.1845764931
68	0.1813988572
69	0.1785811083
70	0.1756104221
71	0.1723995206
72	0.1695195796
73	0.1669385464
74	0.1645699765
75	0.1619874436
76	0.1599136637
77	0.1576841232
78	0.155557155
79	0.1526195311
80	0.1501966767
81	0.1476895618
82	0.1451989119
83	0.1428920885
84	0.1410079662
85	0.1387519348
86	0.136800403
87	0.1350651809
88	0.1333992039
89	0.1314060437
90	0.1298803329
91	0.1279534729
92	0.1260810419
93	0.124360631
94	0.1230931492
95	0.1217913728
96	0.1202274051
97	0.1189444503
98	0.1175293718
99	0.1161232166
100	0.1150064724
101	0.1138490724
102	0.1124579126
103	0.1114623373
104	0.110401522
105	0.1094870734
106	0.1081708156
107	0.1071953648
108	0.1059383994
109	0.1050922709
110	0.1044394385
111	0.1035277379
112	0.1025908471
113	0.1017797187
114	0.1010369532
115	0.09997918924
116	0.09939147055
117	0.09858856689
118	0.09763525908
119	0.09655983352
120	0.0959945635
121	0.09521774666
122	0.09452134876
123	0.09365968613
124	0.09293016895
125	0.0923859905
126	0.09143779986
127	0.09066762624
128	0.09021793754
129	0.08950657465
130	0.08890444024
131	0.08821538222
132	0.08759993375
133	0.08701430269
134	0.08615420799
135	0.0855216084
136	0.08489759471
137	0.08433928373
138	0.08370650134
139	0.083348887
140	0.08281061906
141	0.08211569006
142	0.08156706811
143	0.08100495132
144	0.08024639822
145	0.07973341571
146	0.07912962512
147	0.07862461017
148	0.07807426985
149	0.07758255684
150	0.07715012282
151	0.07673821931
152	0.0763847635
153	0.07590044697
154	0.07548122185
155	0.07489523767
156	0.07444726538
157	0.07416080614
158	0.0736930818
159	0.0732486382
160	0.07294749743
161	0.07271371855
162	0.07232759451
163	0.072044245
164	0.07165153828
165	0.07127920001
166	0.07103627964
167	0.07075743116
168	0.07041994713
169	0.06999333106
170	0.06968891245
171	0.0693616269
172	0.06914792762
173	0.06875473351
174	0.06851448196
175	0.06822185031
176	0.06799315634
177	0.06763922623
178	0.0674209621
179	0.06711155253
180	0.06684396815
181	0.06655439787
182	0.06621825041
183	0.06592093693
184	0.06571771094
185	0.06544274631
186	0.06506879443
187	0.06477079411
188	0.0645039586
189	0.06429203974
190	0.06400362175
191	0.06375024763
192	0.06354550845
193	0.06329871137
194	0.06311494385
195	0.06292070583
196	0.06263672701
197	0.06246026235
198	0.06229702148
199	0.06211401286
200	0.0618847043
201	0.06168658812
202	0.06141273032
203	0.06120369336
204	0.06107015032
205	0.0609107064
206	0.0606277263
207	0.06034573911
208	0.0601125266
209	0.05992068199
210	0.0597404922
211	0.05955796213
212	0.05940678591
213	0.05916302079
214	0.05900845025
215	0.0588800309
216	0.05869092708
217	0.05857716991
218	0.05839374627
219	0.05825729771
220	0.05807826086
221	0.0579830976
222	0.05779578116
223	0.05753072497
224	0.05739128703
225	0.05725117752
226	0.05711821892
227	0.05694821589
228	0.0568363178
229	0.05662208893
230	0.05642958647
231	0.05626326951
232	0.05613307741
233	0.05598533511
234	0.05589050687
235	0.05579664398
236	0.05566422352
237	0.05556319399
238	0.05534332566
239	0.05516371968
240	0.05501397843
241	0.05481623722
242	0.05469693659
243	0.05459657919
244	0.05451127286
245	0.05434576463
246	0.0542099558
247	0.05408203929
248	0.05390965298
249	0.05378139914
250	0.05360718304
251	0.05351210784
252	0.05336363262
253	0.05320087115
254	0.05313212984
255	0.05302209834
256	0.05293041055
257	0.05279148471
258	0.05260349249
259	0.05245439377
260	0.05228501972
261	0.05220582619
262	0.0520765122
263	0.05197780077
264	0.05185187765
265	0.05171355688
266	0.05155606245
267	0.05140538794
268	0.05130975343
269	0.05117219396
270	0.05106870474
271	0.05097584459
272	0.05084652902
273	0.05075989718
274	0.05067509733
275	0.05055328683
276	0.05048544679
277	0.0503697631
278	0.05024121907
279	0.05011899388
280	0.05002843892
281	0.04990702864
282	0.04979689062
283	0.04966985703
284	0.04963564961
285	0.04953527168
286	0.04943633555
287	0.04933011119
288	0.0492481056
289	0.04918997537
290	0.04912374239
291	0.04906325428
292	0.04894954805
293	0.04882093687
294	0.04874267666
295	0.04862739756
296	0.04855061005
297	0.04845910113
298	0.04833652875
299	0.04826400397
