exp_name,model_name,cv_score,best_iteration,train_time_sec,num_samples,num_features,timestamp
20260416-114634_lightgbm_CVScore0.1213_exp_20260416-1146_learning_rate0.05618990727743405,lightgbm,0.1212919121663826,,0.0,1458,390,2026-04-16 11:46:34
20260416-114634_bayesian_ridge_CVScore0.1100_exp_20260416-1146_,bayesian_ridge,0.1100264160313239,,0.0,1458,390,2026-04-16 11:46:34
20260416-114634_sgd_CVScore0.1280_exp_20260416-1146_learning_rateadaptive,sgd,0.1279829825090815,,0.0,1458,390,2026-04-16 11:46:34
20260416-114634_xgboost_CVScore0.1149_exp_20260416-1146_max_depth3_learning_rate0.02584823581818339,xgboost,0.1148739352868551,,0.0,1458,390,2026-04-16 11:46:34
20260416-114634_extratrees_CVScore0.1331_exp_20260416-1146_max_depth20,extratrees,0.1330865855168774,,0.0,1458,390,2026-04-16 11:46:35
20260416-114635_adaboost_CVScore0.1572_exp_20260416-1146_learning_rate0.07010478624133054,adaboost,0.1571664622274866,,0.0,1458,390,2026-04-16 11:46:35
20260416-114635_knn_CVScore0.1563_exp_20260416-1146_,knn,0.1563090119042309,,0.0,1458,390,2026-04-16 11:46:36
20260416-114636_kernel_ridge_CVScore0.1086_exp_20260416-1146_,kernel_ridge,0.1086371464923851,,0.0,1458,390,2026-04-16 11:46:36
20260416-114636_mlp_CVScore0.1959_exp_20260416-1146_learning_rateadaptive,mlp,0.1958567967707015,,0.0,1458,390,2026-04-16 11:46:36
20260416-122313_lasso_CVScore0.1099_exp_20260416-1223_,lasso,0.1099330427789388,,0.0,1458,670,2026-04-16 12:23:13
20260416-122313_elasticnet_CVScore0.1114_exp_20260416-1223_,elasticnet,0.1114089586157078,,0.0,1458,670,2026-04-16 12:23:13
20260416-122313_ransac_CVScore0.1906_exp_20260416-1223_,ransac,0.1905764221212972,,0.0,1458,670,2026-04-16 12:23:13
20260416-122313_ridge_CVScore0.1103_exp_20260416-1223_,ridge,0.1102892005539867,,0.0,1458,670,2026-04-16 12:23:13
20260416-122313_svm_CVScore0.1126_exp_20260416-1223_,svm,0.1126240098362605,,0.0,1458,670,2026-04-16 12:23:13
20260416-122313_random_forest_CVScore0.1336_exp_20260416-1223_max_depth20,random_forest,0.133586861281774,,0.0,1458,670,2026-04-16 12:23:14
20260416-122314_gradient_boosting_CVScore0.1151_exp_20260416-1223_learning_rate0.05207305626240269_max_depth3,gradient_boosting,0.115148385305317,,0.0,1458,670,2026-04-16 12:23:14
20260416-122314_lightgbm_CVScore0.1210_exp_20260416-1223_learning_rate0.08126094581013223,lightgbm,0.1210349740042082,,0.0,1458,670,2026-04-16 12:23:14
20260416-122314_bayesian_ridge_CVScore0.1110_exp_20260416-1223_,bayesian_ridge,0.1109746748943015,,0.0,1458,670,2026-04-16 12:23:14
20260416-122314_sgd_CVScore0.1181_exp_20260416-1223_learning_rateoptimal,sgd,0.1180665364252657,,0.0,1458,670,2026-04-16 12:23:14
20260416-122314_xgboost_CVScore0.1184_exp_20260416-1223_max_depth9_learning_rate0.0335729817675125,xgboost,0.1184333614021223,,0.0,1458,670,2026-04-16 12:23:14
20260416-122314_extratrees_CVScore0.1346_exp_20260416-1223_max_depth14,extratrees,0.1345512498941912,,0.0,1458,670,2026-04-16 12:23:15
20260416-122315_adaboost_CVScore0.1592_exp_20260416-1223_learning_rate0.09780337016659407,adaboost,0.1592365272385648,,0.0,1458,670,2026-04-16 12:23:15
20260416-122315_knn_CVScore0.1569_exp_20260416-1223_,knn,0.1568520714762913,,0.0,1458,670,2026-04-16 12:23:16
20260416-122316_kernel_ridge_CVScore0.1094_exp_20260416-1223_,kernel_ridge,0.1093592011502356,,0.0,1458,670,2026-04-16 12:23:17
20260416-122317_mlp_CVScore0.1907_exp_20260416-1223_learning_rateadaptive,mlp,0.1907440314568088,,0.0,1458,670,2026-04-16 12:23:17
20260421-210717_lgbm_CVScore0.7976_exp_20260421-2107_max_depth6_learning_rate0.03927975767245621,lgbm,0.7975803082960264,0.0,1896.2411904335024,300000,116,2026-04-21 21:07:17
